"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,103,yandex,cpc,freemium,21654,4,0,0
2023-06-01,80,vk,cpc,freemium-frontend,3160,5,0,0
2023-06-01,78,yandex,cpc,prof-frontend,57138,6,1,23000
2023-06-01,71,vk,cpc,prof-python,2028,2,0,0
2023-06-01,66,admitad,cpa,admitad,0,0,0,0
2023-06-01,62,yandex,cpc,prof-python,33026,1,0,0
2023-06-01,58,vk,cpc,base-python,2537,2,0,0
2023-06-01,51,vk,cpc,prof-java,3115,0,0,0
2023-06-01,49,vk,cpc,prof-data-analytics,1072,0,0,0
2023-06-01,49,yandex,cpc,prof-java,29490,1,0,0
2023-06-01,44,vk,cpc,freemium-python,980,0,0,0
2023-06-01,42,vk,cpc,freemium-java,487,1,0,0
2023-06-01,40,yandex,cpc,base-frontend,18061,2,0,0
2023-06-01,38,telegram,cpp,base-python,0,0,0,0
2023-06-01,33,telegram,cpp,base-java,0,0,0,0
